texto,reduzido,ordinal,hebraico,quadrado_reduzido,quadrado_ordinal,trigonal,criacao,quantidade_letras,
Ele Privilegia Com Sua Misericordia A Quem Quer Alcorão,238,508,2740,1580,7556,4032,23923,47,
Ele Que Tem Em Mãos A Alma De Tudo Que Vive E O Sopro Da Vida De Todos Humanos,252,684,4617,1348,10726,5705,41100,60,
Ele Trará Julgamento À Verdade,105,258,1635,583,3886,2072,6734,26,
Ele Vos Castiga Por Vossos Delitos,119,380,2369,687,6240,3310,11049,29,
Ele Vos Guiará Em Toda A Verdade,109,253,1828,613,3889,2071,6604,26,
Eleito,30,66,309,180,900,483,402,6,
Eleitos Segundo A Presciência De Deus Pai,159,357,1779,953,5165,2761,12530,35,
Elemento,35,89,395,165,1209,649,720,8,
Eles Alteram O Sentido Das Palavras,110,326,1793,598,5098,2712,9810,30,
Eles Alteram O Sentido Das Palavras Alcorão,139,391,2038,771,6027,3209,14504,37,
Eles Cairão A Espada Dos Seus Inimigos,134,332,1439,822,4890,2611,10656,32,
Elevação,28,64,505,122,914,489,520,8,
Elevada Felicidade,72,108,522,392,1130,619,1853,17,
Elevado,28,64,505,128,920,492,455,7,
Elevar,27,63,531,157,1003,533,384,6,
Elias Já Veio,45,108,630,277,1528,818,1199,11,
Eliminar A Maldade,68,122,320,404,1394,758,1968,16,
Eliminar A Preguiça,90,162,720,624,2208,1185,2771,17,
Eliminar O Orgulho,93,192,849,639,2718,1455,3088,16,
Eliminar Os Pecados,79,178,637,493,2500,1339,3043,17,
Eliminara A Preguiça,91,163,721,625,2209,1186,2952,18,
Elo,14,32,95,70,394,213,99,3,
Elo Pensador,52,124,475,304,1798,961,1375,11,
Elogio,36,63,171,236,749,406,384,6,
Elucidado Os Humanos,73,199,1135,391,3001,1600,3600,18,
Em Deus Residem A Sabedoria E O Poder Ele Possui O Conselho E A Inteligencia,292,634,2713,1770,8880,4757,39370,62,
Em Inteira Certeza De Fé,102,192,1533,650,2864,1528,3860,20,
Em Justiça São Todas As Palavras Da Minha Boca,124,376,2167,658,5878,3127,14326,38,
Em Nenhum Outro Ha Salvação,94,265,1813,510,4191,2228,6118,23,
Em Parte Conhecemos E Em Parte Profetizamos,181,424,2602,1103,6512,3468,15725,37,
Em Pé No Monte Sinai,79,187,754,471,2631,1409,3008,16,
Em Preço De Redenção,86,149,500,500,1895,1022,2550,17,
Em Quem For Achado Morra,102,210,984,650,3062,1636,4220,20,
Em Retribuição Ao Bem Me Devolveram Maldade,161,350,2087,901,4996,2673,12987,37,
Em Seguida Enviamos Consecutivamente Nossos Mensageiros,210,597,3504,1176,9303,4950,29900,50,
Em Seu Filho Jesus Cristo,91,271,1540,551,4259,2265,5712,21,
Em Sua Formosura Tu Te Tornaste Licenciosa,147,453,2874,845,7433,3943,16344,36,
Em Teu Nome,39,111,705,181,1675,893,1008,9,
Em Ti Serão Benditas Todas As Famílias Da Terra,152,395,1934,922,6025,3210,15444,39,
Em Tudo Tenho Confiança Em Vós.,109,280,1720,577,4204,2242,7306,26,
Em Um Só Ponto Tornou Se Culpado De Todos,141,447,2751,733,7249,3848,14784,33,
Em Verdade As Autoridades Inspiram Temor Não Porem A Quem Pratica O Bem,272,641,3476,1682,9791,5216,37878,59,
Em Verdade As Autoridades Inspiram Temor Não Porem A Quem Pratica O Bem E Sim A Quem Faz O Mal,341,818,4994,2083,12604,6711,61425,75,
Em Verdade Elias Virá Primeiro E Restaurara Todas As Coisas,224,548,3194,1466,8702,4625,27450,50,
Em Verdade Em Verdade Te Digo,115,214,1393,653,2966,1590,5160,24,
Emanação,26,53,161,114,627,340,432,8,
Emanador,35,71,251,201,957,514,576,8,
Emanar,25,52,187,149,716,384,318,6,
Emanar Esclarecimento,86,194,788,496,2710,1452,3900,20,
Emboscada,27,63,216,109,811,437,576,9,
Embrião,36,63,207,244,829,446,448,7,
Emo,15,33,105,77,419,226,102,3,
Empreender,58,103,364,368,1385,744,1040,10,
Emseuscaminhoshadestruiçaoemiseria,151,367,1861,949,5503,2935,12512,34,
"Enchei-Vos Do Espírito,",104,230,1247,692,3464,1847,4851,21,
Encolerizar,63,126,1143,437,2030,1078,1397,11,
Encontrei Aperto E Tristeza,121,301,2308,793,5005,2653,7248,24,
Encorajando,46,100,334,256,1318,709,1111,11,
Endurecer O Coração,83,164,830,505,2404,1284,2805,17,
Endureceu O Coração,77,167,1040,433,2521,1344,2856,17,
Energia,41,59,167,287,701,380,420,7,
Energia Feminina,85,130,337,577,1486,808,1965,15,
Energia Positiva,80,170,1016,556,2590,1380,2565,15,
Enfeites De Prostituta,89,251,1619,533,4079,2165,5040,20,
Enfeitiçar,54,90,378,368,1178,634,910,10,
Enfraqueceu Na Fé,70,142,907,396,2070,1106,2145,15,
Engana Se A Si Mesmo,61,160,574,329,2246,1203,2576,16,
Enganado,34,61,178,178,709,385,496,8,
Enganadores,49,103,373,285,1419,761,1144,11,
Enganados Pelo Orgulho,98,224,998,582,3192,1708,4500,20,
Enganar,33,60,204,207,792,426,427,7,
Engano,29,56,173,161,692,374,342,6,
Enganou A Mulher,65,155,947,375,2301,1228,2184,14,
Enganou Me,41,95,518,211,1327,711,864,9,
Enganou Me E Eu Comi,76,166,940,412,2302,1234,2672,16,
Engole A Iniquidade,89,152,629,569,1892,1022,2601,17,
Enlouquecer,55,136,928,317,2144,1140,1507,11,
Enquanto Os Proprios Corações Não Creem,168,420,2031,1056,6564,3492,14314,34,
Ensinamento Dos Mestres,86,266,1274,470,4142,2204,5607,21,
Ensinamentos Práticos,87,249,1203,527,3893,2071,5000,20,
Ensino As Pessoas A Buscar Nas Escrituras Sagradas Entendimento.,207,630,3339,1193,10130,5380,35336,56,
Ensinou Errado,68,158,824,442,2440,1299,2067,13,
Então Abriu A Minha Boca E Me Deu A Comer O Rolo,167,356,1751,987,5046,2701,13209,37,
Então Abriu Lhes O Entendimento,123,303,1599,709,4471,2387,8208,27,
Então Abriu Lhes O Entendimento Para Compreenderem As Escrituras,257,626,3227,1565,9530,5078,35112,56,
Então Dará A Cada Um Segundo As Suas Obras,109,343,2143,541,5581,2962,11696,34,
Então Disse Eis Que Venho No Rolo Do Livro Está Escrito De Mim,244,613,3430,1506,9417,5015,30700,50,
Então Disse Lhe Jesus,66,210,1092,350,3212,1711,3798,18,
Então Disse Lhe Jesus Vai Te Satanas,99,342,2160,511,5524,2933,10290,30,
Então Disseram Estes São Os Teus Deuses Ó Israel,146,497,2810,794,8147,4322,19920,40,
Então Dissse Maria Eis Aqui A Serva Do Senhor Faça Se Em Mim Segundo A Tua Palavra,272,704,4124,1628,10952,5828,46530,66,
Então Estará Cumprida A Palavra Da Escritura A Morte Foi Tragada Pela Vitória,281,677,4277,1787,10751,5714,44070,65,
Então Herodes Vendo Que Tinha Se Iludido Pelos Magos Irritou-Se Muito E Mandou Matar Todos Os Meninos Que Havia Em Belem,457,1177,6847,2723,18095,9636,117800,100,
Então Jose Seu Marido,74,209,1100,420,3201,1705,3780,18,
Então Não Sou Eu Que O Faço Mas O Pecado Que Habita Em Mim,190,478,2791,1046,7220,3849,21555,45,
Então O Grito Apanhou Os Ao Nascer Do Sol,147,390,1956,877,6034,3212,12903,33,
Então O Que Dentre Vós Escaparem Lembrarão De Mim,184,445,2407,1070,6731,3588,18286,41,
Então Seduziu Os Com Falacia E Quando Ambos Experimentaram A Arvore Exibiram Se Lhes As Partes Pudendas,374,959,6809,2228,15341,8150,83520,87,
Então Será Livre E Conceberá Semente,136,316,1675,772,4660,2488,9827,31,
Então Sereis A Minha Propriedade Particular Entre Todos Os Povos Porque Toda A Terra É Minha,376,907,4930,2432,14213,7560,69916,77,
Entenbebrecidos No Entendimento Separados Da Vida De Deus Pela Ignorancia Que Há Neles,331,736,3616,1909,10504,5620,54538,74,
Entendei O Simples A Prudencia,123,276,1275,741,3936,2106,7202,26,
Entendeiosimplesaprudencia,123,276,1275,741,3936,2106,7202,26,
Entendes Tu O Que Les,68,221,1499,328,3595,1908,3774,17,
Entendimento,57,138,678,307,1954,1046,1668,12,
Entendimento Da Nossa Existencia,122,320,1976,676,4870,2595,9309,29,
Entendimento Da Profecia,108,216,927,642,2928,1572,4774,22,
Entendimento De Deus,79,196,1096,399,2838,1517,3546,18,
Entendimento Lei Coração,103,220,940,595,2998,1609,4862,22,
Entendimento Sincero,95,221,995,565,3175,1698,4218,19,
Entendimentodedeus,79,196,1096,399,2838,1517,3546,18,
Entesouras Ira Para Ti No Dia Da Ira E Da Manifestação Do Justo Juizo De Deus,261,666,4428,1591,10492,5579,41354,62,
Entra Pela Boca,50,113,518,270,1611,862,1482,13,
Entrai Pela Porta Estreita Porque É Larga A Porta E Espaçoso O Caminho Que Conduz A Perdição,363,849,5133,2303,13301,7075,64600,76,
Entre Os Deuses Não Há Semelhante A Ti,124,340,1798,682,5164,2752,10571,31,
Entre Os Filhos De Israel,103,238,967,663,3444,1841,5019,21,
Entre Todos Os Animais,82,235,1144,496,3673,1954,4484,19,
Entrega Me Deus Ao Perverso,109,271,1693,653,4307,2289,6256,23,
Entregaram Se A Libertinagem,116,242,1043,736,3400,1821,6075,25,
Entregou As A Morte,71,197,1214,419,3191,1694,3168,16,
Entrou,30,93,705,180,1611,852,564,6,
Entrou Para Ser Hóspede De Um Homem Pecador,177,402,2049,1075,6034,3218,14508,36,
Entusiasmo,37,136,865,199,2260,1198,1370,10,
Envergonhados,66,147,840,400,2191,1169,1924,13,
Enviamos Mensageiros As Outras Comunidades Mas Foram Desmentidos,235,658,3475,1345,10174,5416,37563,57,
Enviar,33,69,555,229,1111,590,420,6,
Enviou Seu Filho Ao Mundo,102,264,1857,592,4102,2183,5565,21,
Envolta Em Mentiras Está A Sua Habitação,119,353,2279,635,5603,2978,12036,34,
Eo Espirito Santo Estava Sobre Ele,124,349,2023,740,5591,2970,10150,29,
Eoouvirpelapalavradedeus,106,268,2041,618,4326,2297,6456,24,
Epafras,30,66,273,194,1004,535,469,7,
Eparasaraquevosdeusaluz,90,288,2844,526,5224,2756,6647,23,
Época,22,40,139,120,516,278,205,5,
Eporeiasminhaspalavrasemsuaboca,124,322,1753,748,4978,2650,10013,31,
Equidade No Julgamento,87,213,1221,473,3065,1639,4280,20,
Equilibrar,58,112,616,436,1714,913,1130,10,
Equilíbrio,63,117,594,471,1695,906,1180,10,
Equilibrio Do Coração,102,192,876,696,2730,1461,3667,19,
Equilibrio Emocional,105,204,852,709,2770,1487,3895,19,
Era Bom Para Comer,72,144,558,462,2082,1113,2175,15,
Era Um Copo De Ouro Na Mão Do Senhor,138,327,1677,828,4959,2643,9184,28,
Eram Como A Erva Do Campo,89,197,1034,507,2883,1540,3960,20,
Ernesto,33,96,510,197,1556,826,679,7,
Errado,34,61,250,240,915,488,372,6,
Errais Não Conhecendo A Escritura Nem O Poder De Deus,212,464,2255,1296,6840,3652,20460,44,
Errei,37,55,199,293,779,417,280,5,
Erro,29,56,245,223,898,477,228,4,
Erros,30,75,345,224,1259,667,380,5,
Erva,19,46,496,123,834,440,188,4,
Erva Do Campo,50,113,734,286,1735,924,1254,11,
Es,6,24,105,26,386,205,50,2,
Esaindo Eles Pregavam Que Se Arrependessem,166,400,2038,978,6018,3209,14837,37,
Esaoelasquedemimtestificam,107,269,1358,609,3921,2095,7020,26,
Escala De Medida,50,86,212,242,890,488,1218,14,
Escalar,23,59,230,127,865,462,420,7,
Escapar Das Trevas,55,172,1171,313,2950,1561,2768,16,
Esclarecedor,54,108,396,318,1488,798,1308,12,
Esclarecimento,61,142,601,347,1994,1068,2002,14,
Esclarecimento De Deus,83,200,1019,439,2878,1539,4020,20,
Escola,19,55,199,81,765,410,336,6,
Escolha,27,63,207,145,829,446,448,7,
Escolha De Coração,65,128,434,359,1664,896,2064,16,
Escolhe A Maldição,63,126,360,339,1500,813,2032,16,
Escolhe Pois A Vida,73,163,865,451,2359,1261,2624,16,
Escolhe Pois A Vida Para Que Vivas Tu E A Tua Semente,170,485,3734,970,8017,4251,20412,42,
Escolho O Arrependimento,114,249,1005,706,3541,1895,5500,22,
Esconderei O Meu Rosto,94,238,1246,568,3682,1960,4541,19,
Escravidão,43,97,673,267,1527,812,980,10,
Escravizar,50,122,1499,360,2286,1204,1230,10,
Escravo,29,83,659,169,1429,756,588,7,
Escreve,32,77,608,182,1253,665,546,7,
Escreve Sentenças Amargas,84,237,1362,448,3733,1985,5474,23,
Escreveu,35,98,908,191,1694,896,792,8,
Escrita,30,75,408,202,1201,638,532,7,
Escritura,42,114,798,292,1966,1040,1035,9,
Escritura Coração,71,170,1016,465,2760,1465,2736,16,
Escritura Sagrada,66,165,1002,442,2719,1442,2656,16,
Escrituras Sagradas,68,203,1202,444,3441,1822,3672,18,
Escultura,30,120,1029,148,2146,1133,1089,9,
Escuridão,41,95,572,259,1483,789,864,9,
Escutai Minha Voz,69,186,1986,433,3214,1700,2805,15,
Esforço Pessoal,60,168,690,346,2578,1373,2366,14,
Esgotaram As Sua Forças Praticando A Iniquidade,174,417,2226,1094,6413,3415,17138,41,
Esi Que A Vossa Vai Ficar Vos Deserta,125,350,2645,773,5894,3122,10530,30,
Espaco,23,59,239,121,877,468,360,6,
Espaço Infinito,74,155,632,490,2173,1164,2184,14,
Espada Flamigera,64,118,370,392,1490,804,1785,15,
Espancar,32,77,320,192,1173,625,624,8,
Especie,35,62,197,215,782,422,441,7,
Especificar,58,94,301,398,1208,651,1045,11,
Específico,54,90,270,352,1108,599,910,10,
Espelho,35,80,278,209,1100,590,567,7,
Espelho +Virtude,71,179,1286,441,2871,1525,2700,15,
Espelho Sem Luz,59,176,1553,333,2916,1546,2301,13,
Espere No Senhor,77,176,698,499,2632,1404,2478,14,
Esperei Com Paciencia No Senhor E Ele Se Inclinou Para Mim E Ouviu O Meu Clamor,318,705,3576,1966,10183,5444,45184,64,
Esperma,32,77,311,198,1161,619,546,7,
Espermatozoide,72,171,1449,460,2809,1490,2408,14,
Espetacular,40,121,805,214,1987,1054,1342,11,
Espinhos,42,105,402,282,1569,837,848,8,
Espinhos E Laços,61,160,601,363,2334,1247,2254,14,
Espinhos E Laços Há No Caminho Do Perverso,173,398,1775,1087,5830,3114,13965,35,
Espirito Da Paz,69,159,1419,489,2703,1431,2080,13,
Espirito De Mansidão,88,196,817,576,2844,1520,3546,18,
Espirito De Vida,75,156,966,513,2376,1266,2198,14,
Espirito Iluminado,92,209,1046,632,3107,1658,3570,17,
Espirito Piedoso,86,194,851,602,2942,1568,2925,15,
Espirito Puro,73,181,1063,533,2999,1590,2184,12,
Espirito Santo,63,180,954,425,2936,1558,2353,13,
Espirito Santo + Verdade,95,239,1463,605,3827,2033,5040,21,
Espíritos Envoltos Em Trevas,112,355,2389,680,5963,3159,8900,25,
Esplendor No Coração,85,193,742,501,2787,1490,3492,18,
Espontâneo,43,124,601,227,1910,1017,1250,10,
Esposa,21,75,336,113,1229,652,456,6,
Esquadrejar A Pedra,74,164,857,478,2530,1347,2805,17,
Esqueça,26,71,494,134,1151,611,504,7,
Esse Povo Que Formei,90,225,1395,562,3577,1901,3842,17,
Esse Povo Que Formei Para Mim,125,296,1646,807,4578,2437,7128,24,
Essencia Divina,62,134,746,388,1918,1026,1890,14,
Essência Suprema,60,168,879,350,2636,1402,2535,15,
Esses São Os Versiculos De Allah Recitamos Para Ti Com A Verdade,212,581,3299,1234,9109,4845,30846,53,
Esta Destinado Ao Gume Da Espada.,96,249,1338,482,3695,1972,7000,28,
Esta É A Lei,32,77,356,172,1063,570,702,9,
Esta É A Lei E Os Profetas,81,216,1053,467,3302,1759,4340,20,
Esta E Uma Palavra Fiel,71,188,1295,391,2920,1554,3591,19,
Esta Escrito,44,134,773,268,2212,1173,1485,11,
Está Escrito Nos Profetas: Todos Serão Ensinados Por Deus,206,611,3203,1228,9895,5253,29988,49,
Está Inscrito No Coração Do Homem,130,310,1372,792,4572,2441,8708,28,
Está Ó Morte E Teu Aguilhão,94,256,1687,542,4052,2154,5654,22,
Esta Palavra É Fiel E Digna De Toda Aceitação,147,300,1587,827,4112,2206,11137,37,
"Esta Será Chamada Mulher, Porquanto Do Homem Foi Tomada",202,490,2542,1192,7330,3910,23077,47,
Estação,19,64,370,77,1022,543,455,7,
Estado,19,64,370,83,1028,546,390,6,
Estado De Consciência,78,168,672,426,2262,1215,3211,19,
Estais Atento Ó Ceus Eu Vou Falar E A Terra Ouça As Palavras Da Minha Boca Derrame Se Como Chuva A Minha Doutrina,365,959,6359,2107,15229,8094,87360,91,
Estando Em Tormentos,73,235,1270,377,3743,1989,4248,18,
Estão Atentos A Minha Palavra,91,271,1684,509,4343,2307,6800,25,
Estaremos Prontos Para O Matar Atos 23:15,121,391,2146,735,6567,3479,13720,35,
Estas Abominações Ele Fez,85,220,1588,451,3376,1798,4862,22,
Estas Livre De Mulher,81,216,1422,489,3414,1815,3906,18,
Estas Livre De Mulher Não Busque Mulher,147,408,2793,867,6564,3486,13497,33,
Estava Em Pé ,35,107,827,163,1747,927,1080,10,
Estava Em Pé Entre O Senhor E Vós,117,324,2115,669,5232,2778,8450,26,
Estava Em Pé No Monte Sinai,93,255,1461,519,3903,2079,5632,22,
Estava Morto O Pecado,73,208,1360,393,3372,1790,3762,18,
Estava Reclinado No Seio De Jesus,111,309,1767,613,4735,2522,8680,28,
Estavam Ainda Com A Carne Entre Os Dentes,130,346,1939,684,5274,2810,11798,34,
Estavamos Reduzidos A Servidão,114,330,2949,688,5710,3020,8937,27,
Estável,21,84,741,81,1440,762,595,7,
Este É Aquele De Quem Está Escrito,116,314,1943,636,4938,2626,8820,28,
Este É Aquele De Quem Está Escrito Eis Que Envio O Meu Mesnageiro,246,615,3738,1450,9487,5051,32648,53,
Este É Aquele De Quem Está Escrito Eis Que Envio O Meu Mesnageiro Diante Da Tua Face,298,730,4528,1704,11136,5933,49708,68,
Este É Aquele De Quem Está Escrito Eis Que Envio O Meu Mesnageiro Diante Da Tua Face Ele Preparará O Caminho Dainte De Ti,448,1015,5704,2678,15053,8034,99568,98,
Este É O Herdeiro Vinde Matemo-Lo Para Que A Herança Seja Nossa,226,532,2683,1360,7894,4213,27716,52,
Este É O Joao Batista,56,182,1019,286,2860,1521,3111,17,
Este É O Livros Das Gerações De Adão No Dia Que Deus Criou O Homem,237,561,3108,1397,8435,4498,29224,52,
Este E O Sinal Do Concerto,92,236,1100,510,3498,1867,4977,21,
Este Mundo Está Sem Dúvida Submerso Na Escuridão,157,481,3253,827,7829,4155,19762,41,
Este Mundo Está Sem Dúvida Submerso Na Escuridão E Quão Poucos Podem Ver A Luz,265,787,6097,1449,13113,6950,50432,64,
Este Povo É Obstinado,77,221,1391,421,3535,1878,3996,18,
Este Será O Lugar Santo Da Terra,104,302,1796,624,4980,2641,7878,26,
Estendem Se Sua Lingua Como Se Fosse Um Arco Para Mentira,193,535,2902,1087,8287,4411,25192,47,
Estendi Então Meu Manto Sobre Ti E Cobri A Tua Nudez,180,486,3681,1022,7862,4174,20454,42,
Estes Armam Ciladas Contra O Seu Proprio Sangue,171,468,2511,1039,7420,3944,18760,40,
Estes Pois São Os Nomes Dos Filhos De Israel,154,442,1846,920,6734,3588,15948,36,
Estes São Teus Deuses,52,241,1690,210,4215,2228,4356,18,
Estes São Teus Deuses O Israel,86,320,1985,444,5376,2848,8025,25,
Estes Sempre Erram,73,199,946,457,3175,1687,3200,16,
Estes Sempre Erram Em Seu Coração,120,318,1614,706,4990,2654,8932,28,
Estomago,32,95,473,168,1455,775,768,8,
Estória,33,87,465,229,1417,752,616,7,
Estou Cercado Pelos Zombadores,116,314,2258,652,5098,2706,8505,27,
Estrago,31,85,463,197,1385,735,602,7,
Estrela,26,80,431,146,1280,680,567,7,
Estrela De Cinco Pontas,83,218,1046,463,3280,1749,4380,20,
Estrelas Do Amanhecer,78,186,798,446,2696,1441,3553,19,
Estremecer,48,111,543,292,1687,899,1120,10,
Estudar,25,88,700,137,1568,828,623,7,
Estudar Ensinar,60,168,1005,376,2752,1460,2366,14,
Estudo,21,84,669,91,1468,776,510,6,
Etenidade,40,67,283,218,785,426,612,9,
Eternamente ,48,120,651,256,1786,953,1331,11,
Eternidade,49,85,373,299,1109,597,860,10,
Eterno,32,77,410,196,1195,636,468,6,
Eterno Oriente,73,163,829,473,2471,1317,2132,13,
Etica,20,38,218,120,516,277,195,5,
Eu A Sabedoria ,47,101,578,281,1505,803,1224,12,
Eu A Sabedoria Habito Com A Prudencia,135,279,1494,829,4033,2156,8680,31,
Eu Amo Os Que Me Amam,61,178,1078,297,2736,1457,2864,16,
Eu Careço De Ser Batizado Por Ti ,125,278,2177,801,4500,2389,7254,26,
Eu É Que Preciso Ser Batizado Por Ti,150,357,2733,1004,5927,3142,10382,29,
Eu Me Vou,30,102,1110,136,1810,956,721,7,
Eu Mesmo Vi E Já Vos Dei Testemunho De Que Este É O Filho De Deus,221,581,3821,1209,8895,4738,29100,50,
Eu Naõ Acredito,59,131,788,349,1969,1050,1716,13,
Eu Não Recebo Glória Dos Homens,125,278,1205,753,3966,2122,7254,26,
Eu Não Vim Chamar Justos,77,248,1778,433,4078,2163,4980,20,
Eu O Criei Para A Minha Glória,130,229,949,924,3129,1679,5520,24,
Eu O Criei Para A Minha Glória Eu O Formei Sim Eu O Fiz,234,459,2853,1618,6775,3617,19320,42,
Eu Passarei Pela Terra Do Egito,123,285,1518,797,4397,2341,7436,26,
Eu Passarei Pela Terra Do Egito Está Noite,159,393,2148,999,6111,3252,13790,35,
Eu Passarei Pela Terra Do Egito Está Noite E Ferirei Todo Primogenito Na Terra Do Egito,374,815,4073,2474,12221,6518,58752,72,
Eu Pelo Evangelho Vos Gereis Em Jesus Cristo,170,458,2834,1008,7146,3802,16983,37,
Eu Porei Minha Alma Contra A Tua Face,128,290,1640,762,4272,2281,8730,30,
Eu Porem Vos Digo Que Qualquer Que Atentar Numa Mulher Para A Cobiçar,270,675,4608,1684,10927,5801,38532,57,
Eu Proponho Diante De Vós A Benção,131,302,1733,757,4528,2415,8484,28,
Eu Puno,29,92,785,153,1584,838,558,6,
Eu Quero Ser Santo,69,213,1446,423,3663,1938,3210,15,
Eu Reconheço A Minha Iniquidade,143,251,1169,931,3307,1779,6804,27,
Eu Sacrifico Ao Senhor,96,204,960,638,3014,1609,3895,19,
Eu Sacrifico Ao Senhor Os Machos,126,297,1332,802,4429,2363,8046,27,
Eu Sei Que Buscais A Jesus,71,251,1835,383,4235,2243,5292,21,
Eu Sei Que Buscais A Jesus Que Foi Crucificado,164,416,2783,1002,6564,3490,15846,38,
Eu Sei Que O Seu Mandamento É A Vida Eterna,142,367,2491,776,5717,3042,12512,34,
Eu Sou A Luz Do Mundo,65,227,2414,317,4043,2135,3648,16,
Eu Sou A Ressurreição E A Vida,104,275,2039,652,4603,2439,6624,24,
Eu Sou A Voz Do Que Clama No Deserto,118,352,3124,632,5996,3174,9884,28,
Eu Sou Jesus,29,155,1280,117,2781,1468,1560,10,
